filename,original_resolution,file_size_kb,format,has_alpha,processing_mode,target_size
123_swan-2350668_1280_256.png,256x256,78.18,PNG,True,GPU,256
124_hummingbird-1823829_1280_256.png,256x256,73.75,PNG,True,GPU,256
125_owl-3649048_1280_256.png,256x256,80.01,PNG,True,GPU,256
126_kingfisher-2046453_1280_256.png,256x256,60.44,PNG,True,GPU,256
127_bird-341898_1280_256.png,256x256,55.97,PNG,True,GPU,256
128_white-tailed-eagle-2015098_1280_256.png,256x256,74.26,PNG,True,GPU,256
130_seagulls-815304_1280_256.png,256x256,66.79,PNG,True,GPU,256
131_hummingbird-5255827_1280_256.png,256x256,47.73,PNG,True,GPU,256
132_chaffinch-1420407_1280_256.png,256x256,76.33,PNG,True,GPU,256
133_peacock-3080897_1280_256.png,256x256,95.27,PNG,True,GPU,256
136_halcyon-1352522_1280_256.png,256x256,35.61,PNG,True,GPU,256
137_eagle-2045655_1280_256.png,256x256,103.77,PNG,True,GPU,256
138_bird-3743094_1280_256.png,256x256,60.95,PNG,True,GPU,256
140_birds-4551002_1280_256.png,256x256,62.36,PNG,True,GPU,256
139_rooster-1867562_1280_256.png,256x256,90.77,PNG,True,GPU,256
141_swan-2077219_1280_256.png,256x256,97.1,PNG,True,GPU,256
142_barn-owl-2550068_1280_256.png,256x256,62.8,PNG,True,GPU,256
143_spring-bird-2295434_1280_256.png,256x256,88.53,PNG,True,GPU,256
144_bird-1045954_1280_256.png,256x256,66.43,PNG,True,GPU,256
145_owl-1576572_1280_256.png,256x256,115.29,PNG,True,GPU,256
146_owl-1834152_1280_256.png,256x256,62.44,PNG,True,GPU,256
148_robin-8446944_1280_256.png,256x256,63.63,PNG,True,GPU,256
149_bird-9950_1280_256.png,256x256,73.41,PNG,True,GPU,256
150_grey-crowned-cranes-540657_1280_256.png,256x256,87.36,PNG,True,GPU,256
152_kingfisher-3159334_1280_256.png,256x256,107.33,PNG,True,GPU,256
154_peafowl-816981_1280_256.png,256x256,71.85,PNG,True,GPU,256
156_bald-eagle-2715461_1280_256.png,256x256,37.66,PNG,True,GPU,256
157_peafowl-2363750_1280_256.png,256x256,121.6,PNG,True,GPU,256
158_bird-3183441_1280_256.png,256x256,69.07,PNG,True,GPU,256
159_peacock-3617474_1280_256.png,256x256,128.09,PNG,True,GPU,256
160_eagle-1072696_1280_256.png,256x256,69.47,PNG,True,GPU,256
161_red-kite-50498_1280_256.png,256x256,57.22,PNG,True,GPU,256
162_duckling-3524213_1280_256.png,256x256,78.48,PNG,True,GPU,256
163_bird-4051412_1280_256.png,256x256,75.44,PNG,True,GPU,256
164_parrots-3427188_1280_256.png,256x256,88.08,PNG,True,GPU,256
165_bird-2823767_1280_256.png,256x256,98.93,PNG,True,GPU,256
166_parrot-2756488_1280_256.png,256x256,95.35,PNG,True,GPU,256
167_beach-1852945_1280_256.png,256x256,79.89,PNG,True,GPU,256
168_hummingbird-2139279_1280_256.png,256x256,45.89,PNG,True,GPU,256
169_bird-2295431_1280_256.png,256x256,95.59,PNG,True,GPU,256
170_flowers-1835619_1280_256.png,256x256,75.84,PNG,True,GPU,256
171_jay-548381_1280_256.png,256x256,68.12,PNG,True,GPU,256
172_swan-2107052_1280_256.png,256x256,27.12,PNG,True,GPU,256
173_swan-4013225_1280_256.png,256x256,66.43,PNG,True,GPU,256
176_eagle-1753002_1280_256.png,256x256,50.67,PNG,True,GPU,256
179_owl-3184032_1280_256.png,256x256,94.17,PNG,True,GPU,256
180_owl-1845060_1280_256.png,256x256,84.8,PNG,True,GPU,256
181_peacock-feathers-3013486_1280_256.png,256x256,127.61,PNG,True,GPU,256
182_swan-122983_1280_256.png,256x256,43.15,PNG,True,GPU,256
184_kingfisher-1850226_1280_256.png,256x256,59.94,PNG,True,GPU,256
185_hummingbird-5111260_1280_256.png,256x256,87.42,PNG,True,GPU,256
186_gulls-370012_1280_256.png,256x256,61.06,PNG,True,GPU,256
