file,original_resolution,output_256,output_512,status
047_winter-843578_640.jpg,640x452,./output\input_raster_256x256\047_winter-843578_640_256.png,./output\input_raster_512x512\047_winter-843578_640_512.png,success
054_hummingbird-5255827_640.jpg,640x414,./output\input_raster_256x256\054_hummingbird-5255827_640_256.png,./output\input_raster_512x512\054_hummingbird-5255827_640_512.png,success
055_gull-192909_640.jpg,640x427,./output\input_raster_256x256\055_gull-192909_640_256.png,./output\input_raster_512x512\055_gull-192909_640_512.png,success
059_bird-3743094_640.jpg,640x423,./output\input_raster_256x256\059_bird-3743094_640_256.png,./output\input_raster_512x512\059_bird-3743094_640_512.png,success
063_peacock-3617474_640.jpg,640x422,./output\input_raster_256x256\063_peacock-3617474_640_256.png,./output\input_raster_512x512\063_peacock-3617474_640_512.png,success
057_beach-832346_640.jpg,640x430,./output\input_raster_256x256\057_beach-832346_640_256.png,./output\input_raster_512x512\057_beach-832346_640_512.png,success
067_plumage-176723_640.jpg,640x459,./output\input_raster_256x256\067_plumage-176723_640_256.png,./output\input_raster_512x512\067_plumage-176723_640_512.png,success
058_eagle-1072696_640.jpg,640x441,./output\input_raster_256x256\058_eagle-1072696_640_256.png,./output\input_raster_512x512\058_eagle-1072696_640_512.png,success
056_chaffinch-1420407_640.jpg,640x427,./output\input_raster_256x256\056_chaffinch-1420407_640_256.png,./output\input_raster_512x512\056_chaffinch-1420407_640_512.png,success
065_eagle-1753002_640.jpg,640x427,./output\input_raster_256x256\065_eagle-1753002_640_256.png,./output\input_raster_512x512\065_eagle-1753002_640_512.png,success
066_bird-2823767_640.jpg,640x427,./output\input_raster_256x256\066_bird-2823767_640_256.png,./output\input_raster_512x512\066_bird-2823767_640_512.png,success
069_halcyon-1352522_640.jpg,640x424,./output\input_raster_256x256\069_halcyon-1352522_640_256.png,./output\input_raster_512x512\069_halcyon-1352522_640_512.png,success
062_bird-4051412_640.jpg,427x640,./output\input_raster_256x256\062_bird-4051412_640_256.png,./output\input_raster_512x512\062_bird-4051412_640_512.png,success
071_rooster-1867562_640.jpg,640x427,./output\input_raster_256x256\071_rooster-1867562_640_256.png,./output\input_raster_512x512\071_rooster-1867562_640_512.png,success
074_swan-122983_640.jpg,640x427,./output\input_raster_256x256\074_swan-122983_640_256.png,./output\input_raster_512x512\074_swan-122983_640_512.png,success
